femalestar,malestar,femalerasi,malerasi,motha porutham,target
mirugasirisam 1 2 padham,swathi,rishabam,thualam,6,0
mirugasirisam 1 2 padham,visagam 1 2 3 padham,rishabam,thualam,7,1
mirugasirisam 1 2 padham,visagam 4 padham,rishabam,viruchagam,6,0
mirugasirisam 1 2 padham,anusam,rishabam,viruchagam,6,0
mirugasirisam 1 2 padham,kettai,rishabam,viruchagam,6,0
mirugasirisam 1 2 padham,moolam,rishabam,dhanush,8,1
mirugasirisam 1 2 padham,pooradam,rishabam,dhanush,8,1
mirugasirisam 1 2 padham,uthiradam 1 padham,rishabam,dhanush,0,0
mirugasirisam 1 2 padham,uthiradam 2 3 4 padham,rishabam,magaram,0,0
mirugasirisam 1 2 padham,thiruvonam,rishabam,magaram,7,1
mirugasirisam 1 2 padham,avitam 1 2 padham,rishabam,magaram,9,1
mirugasirisam 1 2 padham,avitam 3 4 padam,rishabam,kumbam,10,1
mirugasirisam 1 2 padham,sathayam,rishabam,kumbam,8,1
mirugasirisam 1 2 padham,pooratadhi 1 2 3 padham,rishabam,kumbam,8,1
mirugasirisam 1 2 padham,pooratadhi 4 padham,rishabam,meenam,7,1
mirugasirisam 1 2 padham,uthiraithadhi,rishabam,meenam,8,1
mirugasirisam 1 2 padham,revathi,rishabam,meenam,7,1
mirugasirisham 3 4 padham,aswini,mithunam,mesam,7,1
mirugasirisham 3 4 padham,bharani,mithunam,mesam,8,1
mirugasirisham 3 4 padham,karthigai 1 padham,mithunam,mesam,0,0
mirugasirisham 3 4 padham,karthigai 2 3 4 padham,mithunam,rishabam,#REF!,1
mirugasirisham 3 4 padham,rohini,mithunam,rishabam,#REF!,1
mirugasirisham 3 4 padham,mirugasirisham 1 2 padham,mithunam,rishabam,#REF!,0
mirugasirisham 3 4 padham,mirugasirisham 3 4 padham,mithunam,mithunam,#REF!,0
mirugasirisham 3 4 padham,thiruvadhirai,mithunam,mithunam,#REF!,1
mirugasirisham 3 4 padham,poonarpusham 1 2 3 padham,mithunam,mithunam,#REF!,0
mirugasirisham 3 4 padham,poonarpusham 4 padham,mithunam,kadagam,#REF!,0
mirugasirisham 3 4 padham,poosam,mithunam,kadagam,#REF!,0
mirugasirisham 3 4 padham,ayilyam,mithunam,kadagam,#REF!,0
mirugasirisham 3 4 padham,magam,mithunam,simmam,#REF!,0
mirugasirisham 3 4 padham,pooram,mithunam,simmam,#REF!,0
mirugasirisham 3 4 padham,uthiram 1 padham,mithunam,simmam,#REF!,1
mirugasirisham 3 4 padham,uthiram 2 3 4 padham,mithunam,kanni,#REF!,1
mirugasirisham 3 4 padham,astham,mithunam,kanni,#REF!,1
mirugasirisham 3 4 padham,chithirai 1 2padham,mithunam,kanni,#REF!,0
mirugasirisham 3 4 padham,chithirai 3 4 padham,mithunam,thualam,#REF!,0
mirugasirisham 3 4 padham,swathi,mithunam,thualam,#REF!,1
mirugasirisham 3 4 padham,visagam 1 2 3 padham,mithunam,thualam,#REF!,0
mirugasirisham 3 4 padham,visagam 4 padham,mithunam,viruchagam,#REF!,0
mirugasirisham 3 4 padham,anusam,mithunam,viruchagam,#REF!,1
mirugasirisham 3 4 padham,kettai,mithunam,viruchagam,#REF!,0
mirugasirisham 3 4 padham,moolam,mithunam,dhanush,#REF!,1
mirugasirisham 3 4 padham,pooradam,mithunam,dhanush,#REF!,1
mirugasirisham 3 4 padham,uthiradam 1 padham,mithunam,dhanush,#REF!,1
mirugasirisham 3 4 padham,uthiradam 2 3 4 padham,mithunam,magaram,#REF!,1
mirugasirisham 3 4 padham,thiruvonam,mithunam,magaram,#REF!,1
mirugasirisham 3 4 padham,avitam 1 2 padham,mithunam,magaram,#REF!,0
mirugasirisham 3 4 padham,avitam 3 4 padam,mithunam,kumbam,#REF!,0
mirugasirisham 3 4 padham,sathayam,mithunam,kumbam,#REF!,1
mirugasirisham 3 4 padham,pooratadhi 1 2 3 padham,mithunam,kumbam,#REF!,1
mirugasirisham 3 4 padham,pooratadhi 4 padham,mithunam,meenam,#REF!,1
mirugasirisham 3 4 padham,uthiraithadhi,mithunam,meenam,#REF!,1
mirugasirisham 3 4 padham,revathi,mithunam,meenam,#REF!,1
thiruvadhirai,aswini,mithunam,mesam,#REF!,1
thiruvadhirai,bharani,mithunam,mesam,#REF!,1
thiruvadhirai,karthigai 1 padham,mithunam,mesam,#REF!,1
thiruvadhirai,karthigai 2 3 4 padham,mithunam,rishabam,#REF!,1
thiruvadhirai,rohini,mithunam,rishabam,#REF!,0
thiruvadhirai,mirugasirisham 1 2 padham,mithunam,rishabam,#REF!,1
thiruvadhirai,mirugasirisham 3 4 padham,mithunam,mithunam,#REF!,1
thiruvadhirai,thiruvadhirai,mithunam,mithunam,#REF!,0
thiruvadhirai,poonarpusham 1 2 3 padham,mithunam,mithunam,#REF!,0
thiruvadhirai,poonarpusham 4 padham,mithunam,kadagam,#REF!,0
thiruvadhirai,poosam,mithunam,kadagam,#REF!,0
thiruvadhirai,ayilyam,mithunam,kadagam,#REF!,0
thiruvadhirai,magam,mithunam,simmam,#REF!,0
thiruvadhirai,pooram,mithunam,simmam,#REF!,0
thiruvadhirai,uthiram 1 padham,mithunam,simmam,#REF!,0
thiruvadhirai,uthiram 2 3 4 padham,mithunam,kanni,#REF!,1
thiruvadhirai,astham,mithunam,kanni,#REF!,0
thiruvadhirai,chithirai 1 2padham,mithunam,kanni,#REF!,1
thiruvadhirai,chithirai 3 4 padham,mithunam,thualam,#REF!,1
thiruvadhirai,swathi,mithunam,thualam,#REF!,0
thiruvadhirai,visagam 1 2 3 padham,mithunam,thualam,#REF!,1
thiruvadhirai,visagam 4 padham,mithunam,viruchagam,#REF!,1
thiruvadhirai,anusam,mithunam,viruchagam,#REF!,0
thiruvadhirai,kettai,mithunam,viruchagam,#REF!,1
thiruvadhirai,moolam,mithunam,dhanush,#REF!,1
thiruvadhirai,pooradam,mithunam,dhanush,#REF!,1
thiruvadhirai,uthiradam 1 padham,mithunam,dhanush,#REF!,1
thiruvadhirai,uthiradam 2 3 4 padham,mithunam,magaram,#REF!,1
thiruvadhirai,thiruvonam,mithunam,magaram,#REF!,0
thiruvadhirai,avitam 1 2 padham,mithunam,magaram,#REF!,1
thiruvadhirai,avitam 3 4 padam,mithunam,kumbam,#REF!,1
thiruvadhirai,sathayam,mithunam,kumbam,#REF!,0
thiruvadhirai,pooratadhi 1 2 3 padham,mithunam,kumbam,#REF!,1
thiruvadhirai,pooratadhi 4 padham,mithunam,meenam,#REF!,1
thiruvadhirai,uthiraithadhi,mithunam,meenam,#REF!,1
thiruvadhirai,revathi,mithunam,meenam,#REF!,1
poonarpusham 1 2 3 padham,aswini,mithunam,mesam,#REF!,1
poonarpusham 1 2 3 padham,bharani,mithunam,mesam,#REF!,1
poonarpusham 1 2 3 padham,karthigai 1 padham,mithunam,mesam,#REF!,0
poonarpusham 1 2 3 padham,karthigai 2 3 4 padham,mithunam,rishabam,#REF!,0
poonarpusham 1 2 3 padham,rohini,mithunam,rishabam,#REF!,1
poonarpusham 1 2 3 padham,mirugasirisham 1 2 padham,mithunam,rishabam,#REF!,1
poonarpusham 1 2 3 padham,mirugasirisham 3 4 padham,mithunam,mithunam,#REF!,1
poonarpusham 1 2 3 padham,thiruvadhirai,mithunam,mithunam,#REF!,1
poonarpusham 1 2 3 padham,poonarpusham 1 2 3 padham,mithunam,mithunam,#REF!,0
poonarpusham 1 2 3 padham,poonarpusham 4 padham,mithunam,kadagam,#REF!,0
poonarpusham 1 2 3 padham,poosam,mithunam,kadagam,#REF!,0
poonarpusham 1 2 3 padham,ayilyam,mithunam,kadagam,#REF!,0
poonarpusham 1 2 3 padham,magam,mithunam,simmam,#REF!,0
poonarpusham 1 2 3 padham,pooram,mithunam,simmam,#REF!,0
poonarpusham 1 2 3 padham,uthiram 1 padham,mithunam,simmam,#REF!,0
poonarpusham 1 2 3 padham,uthiram 2 3 4 padham,mithunam,kanni,#REF!,0
poonarpusham 1 2 3 padham,astham,mithunam,kanni,#REF!,1
poonarpusham 1 2 3 padham,chithirai 1 2padham,mithunam,kanni,#REF!,1
poonarpusham 1 2 3 padham,chithirai 3 4 padham,mithunam,thualam,#REF!,1
poonarpusham 1 2 3 padham,swathi,mithunam,thualam,#REF!,1
poonarpusham 1 2 3 padham,visagam 1 2 3 padham,mithunam,thualam,#REF!,0
poonarpusham 1 2 3 padham,visagam 4 padham,mithunam,viruchagam,#REF!,0
poonarpusham 1 2 3 padham,anusam,mithunam,viruchagam,#REF!,1
poonarpusham 1 2 3 padham,kettai,mithunam,viruchagam,#REF!,0
poonarpusham 1 2 3 padham,moolam,mithunam,dhanush,#REF!,1
poonarpusham 1 2 3 padham,pooradam,mithunam,dhanush,#REF!,1
poonarpusham 1 2 3 padham,uthiradam 1 padham,mithunam,dhanush,#REF!,0
poonarpusham 1 2 3 padham,uthiradam 2 3 4 padham,mithunam,magaram,#REF!,0
poonarpusham 1 2 3 padham,thiruvonam,mithunam,magaram,#REF!,1
poonarpusham 1 2 3 padham,avitam 1 2 padham,mithunam,magaram,#REF!,1
