femalestar,malestar,femalerasi,malerasi,thinam porutham,kanam porutham,magendhiram porutham,sthirthirgam porutham,yoni porutham,Rasi porutham,rasi adhipathi porutham,vasiyam porutham,raji porutham,vedhai porutham,motha_porutham,target,inputs
karthigai 1 padham,moolam,maesam,dhanush,1,1,0,1,1,1,1,0,1,1,8,1,124567910
karthigai 1 padham,pooradam,maesam,dhanush,1,0,0,1,0,1,1,0,1,1,6,1,1467910
karthigai 1 padham,uthiradam 1 padham,maesam,dhanush,0,0,0,0,0,0,0,0,0,0,0,0,b
karthigai 1 padham,uthiradam 2 3 4 padham,maesam,magaram,0,0,0,0,0,0,0,0,0,0,0,0,b
karthigai 1 padham,thiruvonam,maesam,magaram,1,0,0,1,0,1,1,0,1,1,6,1,1467910
karthigai 1 padham,avitam 1 2 padham,maesam,magaram,0,1,0,1,1,1,1,0,1,1,7,1,24567910
karthigai 1 padham,avitam 3 4 padam,maesam,kumbam,0,1,0,1,1,1,1,0,1,1,7,1,24567910
karthigai 1 padham,sathayam,maesam,kumbam,1,1,1,1,1,1,1,0,1,1,9,1,1234567910
karthigai 1 padham,pooratadhi 1 2 3 padham,maesam,kumbam,0,0,0,0,0,0,0,0,0,0,0,0,b
karthigai 1 padham,pooratadhi 4 padham,maesam,meenam,0,0,0,0,0,0,0,0,0,0,0,0,b
karthigai 1 padham,uthiraithadhi,maesam,meenam,1,0,0,1,1,1,1,0,1,1,7,1,14567910
karthigai 1 padham,revathi,maesam,meenam,0,0,1,1,1,1,1,0,1,1,7,1,34567910
karthigai 2 3 4 padham,aswini,rishabam,mesam,1,0,0,1,1,1,1,0,1,1,7,1,14567910
karthigai 2 3 4 padham,bharani,rishabam,mesam,1,0,0,1,1,1,1,0,1,1,7,1,14567910
karthigai 2 3 4 padham,karthigai 1 padham,rishabam,mesam,0,1,1,0,1,1,1,0,0,1,6,1,2356710
karthigai 2 3 4 padham,karthigai 2 3 4 padham,rishabam,rishabam,0,1,1,0,1,1,1,0,0,1,6,1,2356710
karthigai 2 3 4 padham,rohini,rishabam,rishabam,1,0,0,0,1,1,1,0,1,1,6,1,1567910
karthigai 2 3 4 padham,mirugasirisham 1 2 padham,rishabam,rishabam,0,0,0,0,1,1,1,0,1,1,5,0,567910
karthigai 2 3 4 padham,mirugasirisham 3 4 padham,rishabam,mithunam,0,0,0,0,1,0,1,0,1,1,4,0,57910
karthigai 2 3 4 padham,thiruvadhirai,rishabam,mithunam,1,0,1,0,1,0,1,0,1,1,6,1,1357910
karthigai 2 3 4 padham,poonarpusham 1 2 3 padham,rishabam,mithunam,0,0,0,0,0,0,0,0,0,0,0,0,b
karthigai 2 3 4 padham,poonarpusham 4 padham,rishabam,kadagam,0,0,0,0,0,0,0,0,0,0,0,0,b
karthigai 2 3 4 padham,poosam,rishabam,kadagam,1,0,0,0,1,0,0,1,1,1,5,0,158910
karthigai 2 3 4 padham,ayilyam,rishabam,kadagam,0,1,1,0,1,0,0,1,1,1,6,1,2358910
karthigai 2 3 4 padham,magam,rishabam,simmam,1,1,0,1,1,0,0,0,1,1,6,1,1245910
karthigai 2 3 4 padham,pooram,rishabam,simmam,1,0,0,1,1,0,0,0,1,1,5,0,145910
karthigai 2 3 4 padham,uthiram 1 padham,rishabam,simmam,0,0,0,0,0,0,0,0,0,0,0,0,b
karthigai 2 3 4 padham,uthiram 2 3 4 padham,rishabam,kanni,0,0,0,0,0,0,0,0,0,0,0,0,b
karthigai 2 3 4 padham,astham,rishabam,kanni,1,0,0,1,1,0,1,0,1,1,6,1,1457910
karthigai 2 3 4 padham,chithirai 1 2padham,rishabam,kanni,0,1,0,1,1,0,1,0,1,1,6,1,2457910
karthigai 2 3 4 padham,chithirai 3 4 padham,rishabam,thualam,0,1,0,1,1,1,1,1,1,1,8,1,245678910
karthigai 2 3 4 padham,swathi,rishabam,thualam,1,0,1,1,1,1,1,0,1,1,8,1,134567910
karthigai 2 3 4 padham,visagam 1 2 3 padham,rishabam,thualam,0,0,0,0,0,0,0,0,0,0,0,0,b
karthigai 2 3 4 padham,visagam 4 padham,rishabam,viruchagam,0,0,0,0,0,0,0,0,0,0,0,0,b
karthigai 2 3 4 padham,anusam,rishabam,viruchagam,1,0,0,1,1,1,1,0,1,1,7,1,14567910
karthigai 2 3 4 padham,kettai,rishabam,viruchagam,0,1,1,1,1,1,1,0,1,1,8,1,234567910
karthigai 2 3 4 padham,moolam,rishabam,dhanush,1,1,0,1,1,0,1,0,1,1,7,1,12457910
